time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable
1342351937338,     1389,       68,     259,       9,         1,            1,
1342351937681,    13468,       68,    1233,      23,         1,            1,
1342351938008,    21721,       68,    1567,     247,         1,            1,
1342351938361,    30147,       68,    1683,     434,         1,            1,
1342351938598,    38110,       68,    1730,     617,         1,            1,
1342351938932,    47487,      266,    1986,    1534,         0,            1,
1342351939223,    57006,      268,    2447,    2573,         0,            1,
1342351939449,    67116,      270,    2699,    3153,         0,            1,
1342351939733,    76542,      270,    3028,    3701,         0,            1,
1342351940050,    88975,      270,    3472,    4675,         0,            1,
1342351940271,   102818,      270,    3737,    6327,         0,            1,
1342351940525,   111934,      270,    3862,    7316,         0,            1,
1342351940769,   121301,      271,    4082,    7896,         0,            0,
1342351940998,   134781,      271,    4456,    8662,         0,            0,
1342351941230,   148595,      271,    4847,    9931,         0,            0,
1342351941550,   166048,      271,    5058,   11885,         0,            0,
1342351941820,   184195,      271,    5133,   13366,         0,            0,
1342351942069,   196244,      271,    5454,   13698,         0,            0,
1342351942330,   203864,      271,    5666,   13974,         0,            0,
1342351942583,   213915,      271,    5899,   14988,         0,            0,
1342351942845,   223766,      271,    5940,   15927,         0,            0,
1342351943121,   230319,      271,    6347,   16567,         0,            0,
1342351943366,   240698,      271,    6449,   17917,         0,            0,
1342351943590,   256613,      276,    7274,   19198,         0,            1,
1342351943808,   270182,      277,    7584,   21241,         0,            1,
1342351944099,   283901,      278,    7558,   22982,         0,            1,
1342351944366,   287305,      278,    7585,   23519,         0,            1,
1342351944609,   294163,      278,    7647,   24674,         0,            1,
1342351944858,   301104,      278,    7636,   25964,         0,            1,
1342351945103,   314372,      278,    8249,   27369,         0,            1,
1342351945318,   324431,      278,    8414,   28457,         0,            1,
1342351945553,   341084,      278,    8487,   31129,         0,            1,
1342351945861,   348487,      278,    8440,   32435,         0,            1,
1342351946083,   360883,      278,    8440,   34322,         0,            1,
1342351946310,   373982,      278,    8783,   36116,         0,            1,
1342351946539,   392475,      278,    8845,   38193,         0,            1,
1342351946908,   408037,      278,    8904,   40437,         0,            1,
1342351947164,   428381,      278,    8760,   43441,         0,            1,
1342351947391,   441597,      278,    8822,   44735,         0,            1,
1342351947640,   457771,      278,    8900,   46141,         0,            1,
1342351947930,   467647,      278,    8907,   46958,         0,            1,
1342351948160,   485418,      278,    9474,   50190,         0,            1,
1342351948396,   499263,      279,   10046,   52204,         0,            1,
1342351948626,   517203,      279,   10120,   55182,         0,            1,
1342351948960,   530219,      279,   10208,   57507,         0,            1,
1342351949258,   547443,      280,   10226,   60310,         0,            1,
1342351949462,   558126,      280,   10216,   62165,         0,            1,
1342351949744,   571379,      280,   10162,   63827,         0,            1,
1342351950239,   588502,      280,   10281,   66051,         0,            1,
1342351950452,   601912,      280,   10236,   67715,         0,            1,
1342351950696,   618054,      280,   10337,   68875,         0,            1,
1342351950970,   634699,      280,   10363,   70052,         0,            1,
1342351951313,   644885,      280,   10404,   70707,         0,            1,
1342351951652,   648258,      280,   10390,   70985,         0,            1,
1342351952488,   651000,      280,   10406,   71217,         0,            1,
