time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable
1342352013507,     2818,      867,     508,     308,         0,            1,
1342352013731,    16884,      869,    2142,    1646,         0,            1,
1342352013945,    31049,      869,    3781,    2590,         0,            1,
1342352014422,    40079,      869,    4647,    3371,         0,            1,
1342352014723,    48587,      869,    5708,    3859,         0,            1,
1342352014994,    60840,      869,    6758,    4747,         0,            1,
1342352015294,    69913,      869,    7586,    5288,         0,            1,
1342352015554,    78756,      869,    8271,    6075,         0,            1,
1342352015799,    88389,      869,    9039,    6823,         0,            1,
1342352016073,    97445,      869,    9815,    7467,         0,            1,
1342352016301,   109953,      869,   10598,    8497,         0,            1,
1342352016537,   125804,      869,   12014,    9306,         0,            1,
1342352016770,   137807,      869,   12970,   10087,         0,            1,
1342352017000,   152719,      869,   14447,   10770,         0,            1,
1342352017230,   162010,      869,   15021,   11568,         0,            1,
1342352017491,   175202,      869,   15881,   12729,         0,            1,
1342352017777,   181296,      869,   16294,   13126,         0,            1,
1342352018096,   188118,      869,   16693,   13787,         0,            1,
1342352018422,   197879,      869,   17205,   14863,         0,            1,
1342352018652,   211181,      869,   17896,   15895,         0,            1,
1342352018893,   224661,      869,   18420,   16942,         0,            1,
1342352019112,   240984,      869,   19069,   18012,         0,            1,
1342352019349,   253501,      869,   19957,   18785,         0,            1,
1342352019564,   270203,      869,   20484,   20128,         0,            1,
1342352019798,   281083,      869,   20712,   21173,         0,            1,
1342352020006,   292542,      869,   20722,   22033,         0,            1,
1342352020227,   305717,      869,   21493,   22393,         0,            1,
1342352020471,   318714,      869,   22515,   22536,         0,            1,
1342352020704,   334607,      869,   23587,   23085,         0,            1,
1342352021013,   351088,      869,   24588,   23791,         0,            1,
1342352021250,   367692,      869,   25425,   24429,         0,            1,
1342352021547,   380969,      869,   26148,   24848,         0,            1,
1342352021794,   393975,      869,   27239,   25145,         0,            1,
1342352022007,   409651,      869,   28243,   25852,         0,            1,
1342352022241,   422672,      869,   28985,   26152,         0,            1,
1342352022454,   438603,      869,   29987,   26627,         0,            1,
1342352022687,   451321,      869,   30830,   27045,         0,            1,
1342352022908,   465633,      869,   31134,   27867,         0,            1,
1342352023148,   479049,      869,   31635,   28354,         0,            1,
1342352023367,   495239,      869,   32059,   29703,         0,            1,
1342352023599,   508811,      869,   32459,   30766,         0,            1,
1342352023812,   524160,      869,   33211,   31412,         0,            1,
1342352024049,   534906,      869,   33511,   32145,         0,            1,
1342352024330,   544769,      869,   33775,   32819,         0,            1,
1342352024547,   563266,      869,   33919,   33966,         0,            1,
1342352024871,   577269,      869,   34351,   34532,         0,            1,
1342352025102,   594744,      869,   34816,   34899,         0,            1,
1342352025310,   608277,      869,   35377,   35185,         0,            1,
1342352025521,   619758,      869,   35450,   35816,         0,            1,
1342352025736,   633861,      869,   35805,   36280,         0,            1,
1342352025962,   647327,      869,   36228,   36885,         0,            1,
1342352026209,   665066,      869,   36765,   37054,         0,            1,
1342352026444,   679527,      869,   36921,   37830,         0,            1,
1342352026663,   696957,      869,   37096,   38663,         0,            1,
1342352026932,   714727,      869,   37288,   39587,         0,            1,
1342352027206,   732568,      869,   37703,   39983,         0,            1,
1342352027421,   746239,      869,   38290,   40099,         0,            1,
1342352027682,   760455,      869,   38818,   40573,         0,            1,
1342352027901,   773675,      869,   39477,   40916,         0,            1,
1342352028118,   784412,      869,   39781,   41155,         0,            1,
1342352028344,   799482,      869,   39809,   41393,         0,            1,
1342352028544,   805996,      869,   39828,   41561,         0,            1,
