time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable
1342351983144,        0,        0,       0,       0,        18,            1,
1342351983458,     1422,      353,     517,      10,         3,            1,
1342351983689,     5689,      353,    1599,     -37,         3,            1,
1342351983915,    11408,     1299,    2460,    1153,         0,            1,
1342351984807,    19223,     1301,    2952,    3926,         0,            1,
1342351985125,    25540,     1301,    3249,    5961,         0,            1,
1342351985372,    40348,     1301,    3482,   10539,         0,            1,
1342351985613,    60248,     1301,    3682,   17989,         0,            1,
1342351985993,    71748,     1301,    3890,   21844,         0,            1,
1342351986356,    83738,     1301,    3949,   25883,         0,            1,
1342351986610,    94275,     1301,    4785,   28892,         0,            1,
1342351987113,   104550,     1301,    5125,   32056,         0,            1,
1342351987568,   109767,     1301,    5570,   33665,         0,            1,
1342351987977,   112479,     1301,    5757,   34393,         0,            1,
1342351988255,   120903,     1301,    5804,   36912,         0,            1,
1342351988484,   135382,     1301,    6244,   41388,         0,            1,
1342351988694,   148402,     1301,    6961,   45102,         0,            1,
1342351988920,   168251,     1301,    7301,   52060,         0,            1,
1342351989543,   176882,     1301,    7264,   55668,         0,            1,
1342351989784,   197801,     1301,    7242,   63791,         0,            1,
1342351990001,   212705,     1301,    7583,   68988,         0,            1,
1342351990234,   227563,     1301,    7892,   73705,         0,            1,
1342351990516,   231615,     1301,    7952,   75201,         0,            1,
1342351990813,   244493,     1301,    8687,   78242,         0,            1,
1342351991081,   250014,     1301,    9141,   79268,         0,            1,
1342351991288,   259224,     1301,    9890,   81249,         0,            1,
1342351991649,   276595,     1301,   10480,   86270,         0,            1,
1342351991875,   293174,     1301,   11215,   90713,         0,            1,
1342351992090,   312594,     1301,   11636,   95922,         0,            1,
1342351992479,   329113,     1301,   11795,  101407,         0,            1,
1342351992742,   336504,     1301,   12066,  102930,         0,            1,
1342351992968,   350677,     1301,   12559,  106520,         0,            1,
1342351993199,   365056,     1301,   13110,  110038,         0,            1,
1342351993445,   376387,     1301,   13423,  112552,         0,            1,
1342351993759,   380212,     1301,   13503,  113505,         0,            1,
1342351994048,   390439,     1301,   14098,  115638,         0,            1,
1342351994376,   398178,     1301,   14209,  117938,         0,            1,
1342351994612,   412168,     1301,   14745,  121903,         0,            1,
1342351994837,   427464,     1301,   15130,  126606,         0,            1,
1342351995088,   435499,     1301,   15125,  129296,         0,            1,
1342351995319,   454054,     1301,   15599,  133785,         0,            1,
1342351995525,   468894,     1301,   16088,  137664,         0,            1,
1342351995845,   482894,     1301,   16681,  140741,         0,            1,
1342351996136,   493847,     1301,   17673,  142780,         0,            1,
1342351996355,   505035,     1301,   18721,  144660,         0,            1,
1342351996574,   516740,     1301,   19660,  147529,         0,            1,
1342351996875,   529647,     1301,   20572,  150228,         0,            1,
1342351997077,   544661,     1301,   21680,  153304,         0,            1,
1342351997301,   561531,     1301,   22628,  156532,         0,            1,
1342351997624,   575626,     1301,   23205,  159532,         0,            1,
1342351997907,   593956,     1301,   23744,  164233,         0,            1,
1342351998122,   612729,     1301,   24322,  168384,         0,            1,
1342351998346,   614902,     1301,   24410,  168746,         0,            1,
