time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable
1342351922066,        0,        0,       0,       0,        51,            1,
1342351922306,     1386,     1079,     766,      18,         0,            0,
1342351922525,     2637,     1079,    1494,      35,         0,            0,
1342351922737,     4171,     1079,    2410,     -81,         0,            0,
1342351922962,     5997,     1079,    3368,     -98,         0,            0,
1342351923224,     7196,     1079,    3951,     -94,         0,            0,
1342351923484,     8163,     1079,    4499,    -149,         0,            0,
1342351923719,     9189,     1079,    5071,    -140,         0,            0,
1342351923985,    10101,     1079,    5599,     -71,         0,            0,
1342351924233,    11580,     1079,    6389,    -176,         0,            0,
1342351924514,    12469,     1079,    6951,    -290,         0,            0,
1342351924804,    13668,     1079,    7556,    -338,         0,            0,
1342351925019,    14867,     1079,    8324,    -316,         0,            0,
1342351925250,    16085,     1079,    9078,    -413,         0,            0,
1342351925471,    17121,     1079,    9655,    -445,         0,            0,
1342351925761,    18930,     1079,   10497,    -397,         0,            0,
1342351925993,    20323,     1079,   11266,    -394,         0,            0,
1342351926233,    20992,     1079,   11644,    -370,         0,            0,
1342351926586,    22456,     1079,   12433,    -376,         0,            0,
1342351926833,    23306,     1079,   12990,    -444,         0,            0,
1342351927196,    24932,     1079,   13769,    -655,         0,            0,
1342351927479,    25645,     1079,   14165,    -746,         0,            0,
1342351927843,    26259,     1079,   14545,    -810,         0,            0,
1342351928237,    26874,     1079,   14922,    -822,         0,            0,
1342351928621,    27141,     1079,   15102,    -809,         0,            0,
1342351928986,    27431,     1079,   15297,    -786,         0,            0,
1342351929255,    27879,     1079,   15663,    -852,         0,            0,
1342351929690,    28121,     1079,   15846,    -878,         0,            0,
1342351930006,    28706,     1079,   16220,    -914,         0,            0,
1342351930389,    29357,     1079,   16620,    -921,         0,            0,
1342351930747,    30105,     1079,   17022,    -958,         0,            0,
1342351930986,    30695,     1079,   17406,    -975,         0,            0,
1342351931278,    31876,     1079,   18176,    -971,         0,            0,
1342351931521,    33435,     1079,   19162,    -949,         0,            0,
1342351931750,    35094,     1079,   20124,   -1117,         0,            0,
1342351932269,    36607,     1079,   20933,   -1223,         0,            0,
1342351932470,    38188,     1079,   21864,   -1260,         0,            0,
1342351932679,    39838,     1079,   22824,   -1288,         0,            0,
1342351932912,    40990,     1079,   23554,   -1313,         0,            0,
1342351933157,    42588,     1079,   24513,   -1370,         0,            0,
1342351933407,    44363,     1079,   25530,   -1411,         0,            0,
1342351933617,    46223,     1079,   26526,   -1698,         0,            0,
1342351933832,    48021,     1079,   27515,   -1902,         0,            0,
1342351934037,    49489,     1079,   28325,   -1912,         0,            0,
1342351934281,    50941,     1079,   29251,   -2033,         0,            0,
1342351934517,    52600,     1079,   30185,   -2071,         0,            0,
1342351934748,    54480,     1079,   31353,   -2171,         0,            0,
1342351934970,    56243,     1079,   32347,   -2378,         0,            0,
1342351935202,    57450,     1079,   33104,   -2401,         0,            0,
1342351935436,    59642,     1079,   34312,   -2681,         0,            0,
1342351935668,    60923,     1079,   35070,   -2740,         0,            0,
1342351935885,    62724,     1079,   36056,   -2758,         0,            0,
1342351936089,    64325,     1079,   37020,   -2718,         0,            0,
1342351936727,    64871,     1079,   37406,   -2742,         0,            0,
1342351936978,    65540,     1079,   37781,   -2756,         0,            0,
1342351937277,    66126,     1079,   38125,   -2745,         0,            0,
