time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable
1342351665210,        0,        0,       0,       0,         4,            1,
1342351665529,     9465,      275,    1027,    2561,         0,            1,
1342351665758,    24965,      275,    1947,    7476,         0,            1,
1342351665961,    36891,      275,    2722,   10985,         0,            1,
1342351666240,    46124,      275,    3372,   13454,         0,            1,
1342351666662,    60697,      275,    3739,   17720,         0,            1,
1342351666925,    73386,      275,    4445,   21130,         0,            1,
1342351667177,    83786,      275,    4913,   23933,         0,            1,
1342351667391,    94101,      275,    5364,   26584,         0,            1,
1342351667720,   105640,      275,    6264,   29171,         0,            1,
1342351668022,   111349,      275,    6715,   29981,         0,            1,
1342351668263,   124758,      275,    7369,   33088,         0,            1,
1342351668489,   142030,      275,    8047,   37465,         0,            1,
1342351668723,   160230,      275,    8364,   42625,         0,            1,
1342351669014,   166353,      275,    8746,   43581,         0,            1,
1342351669235,   183419,      275,    9270,   47456,         0,            1,
1342351669473,   200974,      275,    9834,   51467,         0,            1,
1342351669746,   214375,      275,   10367,   54284,         0,            1,
1342351670099,   220785,      275,   10606,   55528,         0,            1,
1342351670361,   230651,      275,   11058,   57426,         0,            1,
1342351670619,   240000,      275,   11605,   59495,         0,            1,
1342351670872,   249482,      275,   12122,   61536,         0,            1,
1342351671079,   256437,      275,   12417,   63028,         0,            1,
1342351671468,   272881,      275,   13070,   66529,         0,            1,
1342351671693,   289949,      275,   13710,   70387,         0,            1,
1342351671922,   306535,      275,   14345,   73861,         0,            1,
1342351672142,   320761,      275,   14748,   77174,         0,            1,
1342351672388,   328327,      275,   14784,   79108,         0,            1,
1342351672614,   346689,      275,   14792,   84055,         0,            1,
1342351672850,   363953,      275,   15371,   87900,         0,            1,
1342351673065,   378850,      275,   15580,   91409,         0,            1,
1342351673319,   384610,      275,   15951,   92307,         0,            1,
1342351673534,   402023,      275,   16560,   95854,         0,            1,
1342351673761,   420889,      275,   16638,  100829,         0,            1,
1342351674004,   438650,      275,   16922,  104139,         0,            1,
1342351674234,   442407,      275,   16885,  104933,         0,            1,
1342351674452,   461596,      275,   16967,  109100,         0,            1,
1342351674668,   474793,      275,   17433,  111246,         0,            1,
1342351674889,   491442,      275,   17964,  114292,         0,            1,
1342351675182,   497806,      275,   18192,  115479,         0,            1,
1342351675390,   511440,      275,   18544,  117990,         0,            1,
1342351675610,   526273,      275,   18755,  120798,         0,            1,
1342351675834,   544753,      275,   18887,  124600,         0,            1,
1342351676913,   556071,      275,   19029,  127287,         0,            1,
1342351677143,   570701,      275,   19194,  131001,         0,            1,
1342351677378,   589652,      275,   19222,  135154,         0,            1,
1342351677613,   609868,      275,   19131,  140678,         0,            1,
1342351677862,   621772,      275,   19128,  143968,         0,            1,
1342351678067,   633236,      275,   19175,  146497,         0,            1,
1342351678322,   647692,      275,   19167,  149915,         0,            1,
1342351678559,   667406,      275,   19136,  154544,         0,            1,
1342351678864,   679677,      275,   19122,  157529,         0,            1,
1342351679069,   695000,      275,   19139,  160942,         0,            1,
1342351679272,   710000,      275,   19216,  164152,         0,            1,
1342351679496,   727121,      275,   19774,  167524,         0,            1,
1342351679777,   738669,      275,   19799,  170236,         0,            1,
1342351680025,   755000,      275,   20539,  172269,         0,            1,
1342351680225,   769454,      275,   20900,  174937,         0,            1,
