time         ,iter.    ,bestScore,live    ,dead
1342290475452,      274,       84,      70,      26
1342290475652,    29244,      275,    3437,    4436
1342290475853,    56993,      275,    5246,    9670
1342290477252,    76919,      275,    6721,   12959
1342290478665,   104718,      275,    8392,   17964
1342290480068,   125801,      275,    9790,   21673
1342290481625,   145146,      275,   11235,   24894
1342290483070,   168318,      275,   12662,   28639
1342290484520,   187311,      275,   13833,   31996
1342290485990,   206818,      275,   14599,   35294
1342290486190,   206818,      275,   14599,   35294
