time         ,iter.    ,bestScore,live    ,dead
1342290541478,        0,        0,       1,      -1
1342290543046,      105,      200,      57,       2
1342290544592,      210,      200,      80,       6
1342290546147,      461,      240,     175,      14
1342290547687,      572,      240,     202,      18
1342290549234,      716,      291,     229,      26
1342290550779,      848,      388,     284,      32
1342290552337,     1093,      388,     379,      43
1342290552537,     1093,      388,     380,      43
