time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable
1342351740693,        0,        0,       0,       0,        28,            1,
1342351740902,     6795,      555,    1827,     -63,         0,            0,
1342351741162,    11825,      555,    3302,    -213,         0,            0,
1342351741388,    16302,      555,    5120,    -489,         0,            0,
1342351741638,    23939,      555,    6994,    -737,         0,            0,
1342351741921,    25452,      555,    7145,    -698,         0,            0,
1342351742197,    31975,      555,    8677,    -822,         0,            0,
1342351742453,    36730,      555,    9662,    -903,         0,            0,
1342351742759,    39762,      555,   10261,    -976,         0,            0,
1342351743195,    44897,      555,   11499,   -1057,         0,            0,
1342351743422,    48232,      555,   12683,   -1196,         0,            0,
1342351743633,    56158,      557,   14169,   -1394,         0,            0,
1342351743876,    64143,      557,   14749,   -1265,         0,            0,
1342351744088,    69516,      557,   16346,   -1675,         0,            0,
1342351744301,    75245,      557,   17348,   -1620,         0,            0,
1342351744563,    81782,      557,   18512,   -1678,         0,            0,
1342351744856,    90295,      557,   19303,   -1592,         0,            0,
1342351745090,    96332,      557,   20348,   -1666,         0,            0,
1342351745293,   100235,      557,   21733,   -1821,         0,            0,
1342351745560,   105641,      557,   22507,   -1876,         0,            0,
1342351745796,   113414,      557,   24084,   -2147,         0,            0,
1342351746014,   119133,      557,   25660,   -2421,         0,            0,
1342351746237,   126231,      563,   27044,   -2694,         0,            0,
1342351746509,   131207,      563,   28332,   -2991,         0,            0,
1342351746748,   139392,      563,   30078,   -3382,         0,            0,
1342351747038,   145746,      563,   31784,   -3585,         0,            0,
1342351747275,   151557,      563,   33284,   -3764,         0,            0,
1342351747495,   159168,      563,   34206,   -3643,         0,            0,
1342351747703,   166895,      563,   35917,   -3880,         0,            0,
1342351747918,   173980,      563,   36940,   -3957,         0,            0,
1342351748172,   181863,      563,   38321,   -4053,         0,            0,
1342351748517,   188284,      563,   40267,   -4622,         0,            0,
1342351748728,   193066,      563,   40978,   -4672,         0,            0,
1342351748940,   201647,      563,   42294,   -4778,         0,            0,
1342351749149,   206874,      563,   43517,   -4944,         0,            0,
1342351749352,   209905,      563,   43979,   -4962,         0,            0,
1342351749603,   214826,      563,   45292,   -5125,         0,            0,
1342351749833,   219538,      563,   47013,   -5476,         0,            0,
1342351750066,   226936,      563,   47905,   -5611,         0,            0,
1342351750750,   234347,      563,   49136,   -5806,         0,            0,
1342351750965,   239250,      563,   50879,   -6167,         0,            0,
1342351751197,   247216,      563,   52153,   -6317,         0,            0,
1342351751419,   255408,      563,   53639,   -6476,         0,            0,
1342351751662,   264829,      563,   54983,   -6611,         0,            0,
1342351751885,   273402,      563,   56416,   -6844,         0,            0,
1342351752138,   280172,      563,   58012,   -7149,         0,            0,
1342351752364,   286019,      563,   58959,   -7216,         0,            0,
1342351752571,   292908,      563,   60478,   -7503,         0,            0,
1342351752786,   302177,      563,   61541,   -7675,         0,            0,
1342351752998,   307259,      563,   62883,   -7892,         0,            0,
1342351753211,   312581,      563,   63710,   -7943,         0,            0,
1342351753418,   317625,      563,   65366,   -8316,         0,            0,
1342351753639,   325049,      563,   66531,   -8501,         0,            0,
1342351753853,   331641,      563,   68136,   -8733,         0,            0,
1342351754069,   338643,      563,   69519,   -9119,         0,            0,
1342351754307,   341019,      563,   69855,   -9096,         0,            0,
1342351754528,   343594,      563,   69892,   -8293,         0,            0,
1342351754740,   346919,      563,   69888,   -7206,         0,            0,
1342351754966,   350740,      563,   69986,   -6124,         0,            0,
1342351755205,   354000,      563,   69993,   -5104,         0,            0,
1342351755447,   357207,      563,   70022,   -4091,         0,            0,
1342351755683,   360593,      563,   70018,   -3115,         0,            0,
1342351755883,   360767,      563,   70016,   -3068,         0,            0,
