time         ,iter.    ,bestScore,live    ,dead
1342300103817,     2584,       59,     648,     224
1342300104081,     8808,       74,    2139,     819
1342300104434,    17343,      264,    3818,    1664
1342300104901,    20234,      264,    4355,    1918
1342300105243,    20234,      264,    4355,    1919
