time         ,iter.    ,bestScore,live    ,dead
1342301537350,      640,      138,     185,      58
1342301537566,     4850,      203,    1270,     389
1342301537795,     9028,      203,    2207,     765
1342301538014,    13211,      203,    3172,    1102
1342301538242,    17526,      203,    4142,    1520
1342301538568,    18073,      203,    4269,    1578
