time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable,mapName
1342356448145,        0,        0,       0,       0,        43,            0,map9
1342356448345,    17596,      819,    6671,   -1849,         1,            1,map9
1342356448545,    29248,      819,   10776,   -2382,         1,            1,map9
1342356448745,    43752,      833,   16110,   -3889,         1,            1,map9
1342356448977,    47899,      833,   17737,   -4376,         1,            1,map9
1342356449177,    60312,      833,   22252,   -6168,         1,            1,map9
