time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable
1342351680346,        0,        0,       0,       0,         8,            1,
1342351680563,    11006,      575,    1796,    3573,         0,            1,
1342351680829,    15987,      575,    2525,    5137,         0,            1,
1342351681038,    28335,      575,    3912,    8622,         0,            1,
1342351681270,    43055,      575,    5604,   12947,         0,            1,
1342351681517,    52161,      575,    6634,   15083,         0,            1,
1342351682032,    63667,      575,    7976,   18009,         0,            1,
1342351682303,    72664,      575,    9048,   20336,         0,            1,
1342351682506,    82108,      575,   10054,   22820,         0,            1,
1342351682763,    95416,      575,   11234,   26589,         0,            1,
1342351683000,   108074,      575,   12509,   29831,         0,            1,
1342351683310,   114489,      575,   13133,   31262,         0,            1,
1342351683538,   131238,      575,   14364,   35582,         0,            1,
1342351683769,   147313,      575,   15850,   39526,         0,            1,
1342351684202,   164056,      575,   17140,   43475,         0,            1,
1342351684464,   180699,      575,   18577,   47494,         0,            1,
1342351684767,   197421,      575,   19847,   51854,         0,            1,
1342351685068,   210741,      575,   20852,   54921,         0,            1,
1342351685474,   218353,      575,   21122,   56729,         0,            1,
1342351685749,   232398,      575,   21926,   60316,         0,            1,
1342351685972,   239045,      575,   22434,   61970,         0,            1,
1342351686181,   252239,      575,   23392,   65317,         0,            1,
1342351686412,   269061,      575,   24623,   69734,         0,            1,
1342351686630,   273071,      575,   24720,   70974,         0,            1,
1342351686851,   290413,      575,   25795,   75001,         0,            1,
1342351687103,   307396,      575,   27029,   79215,         0,            1,
1342351687332,   324965,      575,   28152,   83794,         0,            1,
1342351688162,   328189,      575,   28419,   84799,         0,            1,
1342351688385,   342095,      575,   29428,   88024,         0,            1,
1342351688618,   359747,      575,   30773,   92184,         0,            1,
1342351688836,   378314,      575,   31829,   96821,         0,            1,
1342351689093,   385624,      575,   32204,   98503,         0,            1,
1342351689319,   403171,      575,   33569,  102619,         0,            1,
1342351689537,   420050,      575,   35034,  105921,         0,            1,
1342351689947,   438093,      575,   36211,  110682,         0,            1,
1342351690156,   452656,      575,   37198,  113903,         0,            1,
1342351690428,   469744,      575,   38464,  118269,         0,            1,
1342351690676,   487070,      575,   39746,  122602,         0,            1,
1342351690931,   494678,      575,   39936,  124717,         0,            1,
1342351691139,   508588,      575,   40921,  128098,         0,            1,
1342351691396,   526357,      575,   41791,  133493,         0,            1,
1342351691612,   545489,      575,   42497,  139324,         0,            1,
1342351691834,   549422,      575,   42625,  140376,         0,            1,
1342351692081,   566368,      575,   43907,  144431,         0,            1,
1342351692295,   584074,      575,   44904,  148515,         0,            1,
1342351692528,   599991,      575,   45642,  152555,         0,            1,
1342351692779,   604000,      575,   45736,  153672,         0,            1,
1342351692991,   621807,      575,   46739,  158107,         0,            1,
1342351693217,   639120,      575,   47933,  162392,         0,            1,
1342351693445,   657862,      575,   48904,  167199,         0,            1,
1342351693666,   661700,      575,   49023,  168376,         0,            1,
1342351693888,   680879,      575,   49784,  173232,         0,            1,
1342351694115,   694775,      575,   50539,  176639,         0,            1,
1342351694327,   712720,      575,   51376,  180789,         0,            1,
1342351694591,   719541,      575,   51833,  182344,         0,            1,
1342351694807,   737047,      575,   52796,  187194,         0,            1,
1342351695024,   755607,      575,   53824,  192079,         0,            1,
1342351695238,   769021,      575,   54660,  195426,         0,            1,
1342351695517,   773362,      575,   54962,  196335,         0,            1,
