time         ,iter.    ,bestScore,live    ,dead
1342355656766,        0,        0,       1,      -1
1342355656969,    24559,      337,    1812,    3177
1342355657169,    42927,      337,    1828,    5945
1342355657369,    67532,      337,    1881,    8058
1342355657569,    98553,      337,    1976,   10301
1342355657769,   123590,      337,    2324,   13492
1342355657970,   137589,      337,    2765,   13875
1342355658170,   170178,      337,    3029,   14309
1342355658370,   197163,      337,    3250,   15005
1342355658571,   222482,      337,    4037,   16493
1342355658821,   246774,      337,    5725,   17295
1342355659021,   275048,      337,    6562,   17703
1342355659221,   296339,      337,    7599,   17507
1342355659421,   319558,      337,    8406,   17229
1342355659621,   348499,      337,    9430,   16793
1342355659822,   362320,      337,   10143,   16197
1342355660022,   391210,      337,   10357,   16494
1342355660225,   413438,      337,   11171,   15819
1342355660459,   439135,      337,   11320,   15703
1342355660659,   466865,      337,   12174,   15067
1342355660859,   488425,      337,   12017,   15224
1342355661059,   514329,      337,   12255,   15252
1342355661259,   535325,      337,   12264,   15247
1342355661459,   564824,      337,   12243,   15268
1342355661659,   586522,      337,   12268,   15250
1342355661859,   616809,      337,   13001,   14649
1342355662059,   629078,      337,   13215,   14441
1342355662259,   658925,      337,   14961,   13408
1342355662459,   677531,      337,   15303,   13065
1342355662661,   706048,      337,   15107,   13262
1342355662862,   716882,      337,   15075,   13294
1342355663062,   745220,      337,   15476,   12907
1342355663262,   765956,      337,   16256,   12192
1342355663462,   794054,      337,   16287,   12161
1342355663663,   814110,      337,   16317,   12134
1342355663863,   837902,      337,   16339,   12112
1342355664063,   860029,      337,   17028,   11730
1342355664263,   888260,      337,   18330,   10601
1342355664463,   906487,      337,   18460,   10474
1342355664663,   932791,      337,   18368,   10566
1342355664864,   956616,      337,   18324,   10621
1342355665064,   984730,      337,   18561,   10391
1342355665264,  1009332,      337,   19742,    9278
1342355665464,  1040907,      337,   20664,    8368
1342355665664,  1065403,      337,   21730,    7369
1342355665864,  1094191,      337,   23141,    6020
1342355666064,  1117446,      337,   24672,    4534
1342355666265,  1147875,      337,   24634,    4573
1342355666465,  1165196,      337,   24514,    4701
1342355666665,  1195865,      337,   24707,    4509
1342355666865,  1219539,      337,   25596,    3630
1342355667065,  1248110,      337,   25548,    3685
1342355667267,  1272724,      337,   25482,    3752
1342355667467,  1302090,      337,   25265,    3970
1342355667668,  1325773,      337,   25501,    3734
1342355667868,  1354655,      337,   25559,    3683
1342355668069,  1379252,      337,   25640,    3606
1342355668269,  1407784,      337,   25764,    3482
1342355668469,  1430029,      337,   25699,    3547
1342355668669,  1455007,      337,   25634,    3612
1342355668873,  1480864,      337,   25630,    3644
1342355669073,  1509790,      337,   25616,    3658
1342355669273,  1534767,      337,   25578,    3696
1342355669473,  1563739,      337,   25697,    3579
1342355669673,  1588731,      337,   25646,    3631
1342355669873,  1616651,      337,   25670,    3607
1342355670075,  1640646,      337,   26236,    3041
1342355670275,  1669230,      337,   26423,    2854
1342355670476,  1695000,      337,   26366,    2911
1342355670677,  1720650,      337,   26397,    2880
1342355670878,  1744634,      337,   27505,    1843
1342355671078,  1773459,      337,   28206,    1244
1342355671278,  1798793,      337,   28906,     707
1342355671478,  1827971,      337,   29981,    -280
1342355671678,  1852572,      337,   30007,    -299
1342355671879,  1864643,      337,   29983,    -275
