time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable
1342351755976,      668,      714,     325,       7,        11,            0,
1342351756214,     3315,      714,    1377,    -268,        11,            0,
1342351756421,     5463,      714,    2332,    -434,        11,            0,
1342351756630,     8177,      714,    3325,    -470,        11,            0,
1342351756867,    11780,      714,    4527,    -718,        11,            0,
1342351757165,    14750,      714,    5103,    -355,        11,            0,
1342351757431,    16168,      714,    5723,    -403,        11,            0,
1342351757666,    18863,      714,    6167,     -61,        11,            0,
1342351757944,    21007,      714,    6356,     244,        11,            0,
1342351758201,    23693,      714,    6706,     463,        11,            0,
1342351758474,    26006,      714,    7248,     497,        11,            0,
1342351758726,    29713,      714,    7518,    1143,        11,            0,
1342351758953,    33261,      714,    8066,    1490,        11,            0,
1342351759200,    36948,      714,    8479,    1975,        11,            0,
1342351759407,    39703,      714,    8976,    2216,        11,            0,
1342351759654,    42533,      714,    9330,    2403,        11,            0,
1342351759976,    44400,      714,    9402,    2787,        11,            0,
1342351760202,    47412,      714,    9771,    3054,        11,            0,
1342351760471,    52543,      714,   10042,    4037,        11,            0,
1342351760708,    56354,      714,   10132,    5065,        11,            0,
1342351760945,    60715,      714,   10595,    5537,        11,            0,
1342351761171,    63821,      714,   10756,    6159,        11,            0,
1342351761424,    66716,      714,   11350,    6179,        11,            0,
1342351761660,    70919,      714,   11936,    6549,        11,            0,
1342351761892,    75068,      714,   12418,    6922,        11,            0,
1342351762098,    79134,      714,   12619,    7699,        11,            0,
1342351762337,    81780,      714,   12990,    7864,        11,            0,
1342351762542,    85201,      714,   13332,    7926,        11,            0,
1342351762747,    88689,      714,   13869,    8127,        11,            0,
1342351763029,    92782,      714,   14406,    8403,        11,            0,
1342351763264,    97402,      714,   14614,    9493,        11,            0,
1342351763493,   101874,      714,   14967,   10243,        11,            0,
1342351763703,   104495,      714,   15200,   10678,        11,            0,
1342351763919,   107885,      714,   15455,   11161,        11,            0,
1342351764163,   112438,      714,   15674,   12098,        11,            0,
1342351764385,   115851,      714,   16042,   12438,        11,            0,
1342351764646,   120278,      714,   16425,   12951,        11,            0,
1342351764863,   123400,      714,   16609,   13639,        11,            0,
1342351765101,   128658,      714,   16769,   14644,        11,            0,
1342351765324,   131740,      714,   17101,   14861,        11,            0,
1342351765610,   135183,      714,   17686,   15005,        11,            0,
1342351765846,   139446,      714,   18219,   15416,        11,            0,
1342351766058,   142967,      714,   18643,   15474,        11,            0,
1342351766275,   146744,      714,   18904,   16077,        11,            0,
1342351766485,   149972,      714,   19074,   16403,        11,            0,
1342351766689,   153544,      714,   19657,   16501,        11,            0,
1342351766896,   157293,      714,   19985,   16876,        11,            0,
1342351767204,   161914,      714,   20384,   17647,        11,            0,
1342351767446,   167253,      714,   20380,   19031,        11,            0,
1342351767681,   171641,      714,   20738,   19643,        11,            0,
1342351767970,   175815,      714,   21214,   20023,        11,            0,
1342351768213,   179004,      714,   21666,   20300,        11,            0,
1342351768429,   182596,      714,   21971,   20626,        11,            0,
1342351768680,   186733,      714,   22521,   21022,        11,            0,
1342351768914,   189672,      714,   22800,   21484,        11,            0,
1342351769151,   193420,      714,   23183,   21928,        11,            0,
1342351769357,   197005,      714,   23556,   22220,        11,            0,
1342351769582,   199216,      714,   23695,   22379,        11,            0,
1342351769800,   202358,      714,   23970,   22776,        11,            0,
1342351770028,   206359,      714,   24557,   23140,        11,            0,
1342351770232,   209093,      714,   24872,   23317,        11,            0,
1342351770433,   212555,      714,   25182,   23626,        11,            0,
1342351770637,   215264,      714,   25419,   23968,        11,            0,
1342351770858,   218744,      714,   25766,   24158,        11,            0,
1342351771058,   220411,      714,   25830,   24355,        11,            0,
