time         ,iter.    ,bestScore,live    ,dead
1342301642876,       32,      181,      32,      -1
1342301643140,      168,      241,     149,       3
1342301643414,      413,      271,     224,      19
1342301643699,      749,      271,     398,      33
1342301643947,      836,      271,     474,      36
