time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable,mapName
1342388878781,        8,      337,      39,     -39,         6,            1,flood1
1342388878992,       19,      431,    5711,   -5711,         4,            1,flood1
1342388879192,       21,      431,   11305,  -11305,         4,            1,flood1
1342388879414,       22,      475,   13467,  -13467,         3,            1,flood1
1342388879614,       23,      479,   14742,  -14742,         3,            1,flood1
1342388879820,       25,      479,   15688,  -15688,         3,            1,flood1
1342388880020,       26,      479,   15975,  -15975,         3,            1,flood1
1342388880221,       27,      479,   15898,  -15898,         3,            1,flood1
1342388880421,       28,      479,   15785,  -15785,         3,            1,flood1
1342388880621,       29,      479,   15504,  -15504,         3,            1,flood1
1342388880821,       30,      479,   15460,  -15460,         3,            1,flood1
1342388881057,       30,      479,   15460,  -15460,         3,            1,flood1
1342388881257,       31,      479,   15244,  -15244,         3,            1,flood1
1342388881457,       33,      479,   14931,  -14931,         3,            1,flood1
1342388881657,       34,      479,   14813,  -14813,         3,            1,flood1
1342388881857,       34,      479,   14634,  -14634,         3,            1,flood1
