time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable,mapName
1342360275399,      679,      572,     309,      11,         1,            0,map8
1342360275600,    29932,      587,    6110,      28,         0,            0,map8
1342360275800,    66570,      589,   13421,    -143,         0,            0,map8
1342360276008,   100717,      589,   18270,    -136,         0,            0,map8
1342360276208,   132105,      589,   22912,      18,         0,            0,map8
1342360276410,   165560,      589,   26988,     120,         0,            0,map8
1342360276616,   196883,      591,   32867,    -524,         0,            0,map8
1342360276816,   236925,      591,   39013,    -851,         0,            0,map8
1342360277016,   270161,      591,   43614,   -1307,         0,            0,map8
1342360277216,   298059,      591,   48000,   -1478,         0,            0,map8
1342360277473,   334540,      591,   53392,   -1697,         0,            0,map8
1342360277674,   376107,      591,   58528,   -1915,         0,            0,map8
1342360278131,   383841,      591,   59789,   -2015,         0,            0,map8
1342360278331,   425890,      591,   64989,   -2025,         0,            0,map8
1342360278531,   435523,      591,   66546,   -1995,         0,            0,map8
