time         ,iter.    ,bestScore,live    ,dead
1342355671918,        0,        0,       1,      -1
1342355672118,    43796,      869,    5485,    4211
1342355672318,    71798,      869,    7667,    6976
1342355672584,   118132,      869,   11380,    9582
1342355672784,   160257,      869,   14763,   12312
1342355673338,   190089,      869,   17006,   13619
1342355673538,   239797,      869,   19769,   16389
1342355673738,   277304,      869,   21832,   18682
1342355673987,   322885,      869,   24263,   21188
1342355674187,   371693,      869,   26794,   24650
1342355674388,   401277,      869,   28071,   26121
1342355674588,   450172,      869,   30448,   28576
1342355674788,   476229,      869,   32079,   29295
1342355675039,   514889,      869,   34138,   30666
1342355675239,   567926,      869,   37724,   31497
1342355675439,   593572,      869,   38416,   32574
1342355675664,   620264,      869,   38974,   33899
1342355675968,   666944,      869,   41283,   35293
1342355676226,   700288,      869,   42917,   36439
1342355676503,   733846,      869,   44324,   37676
1342355676761,   767664,      869,   45300,   38930
1342355677012,   803018,      869,   46498,   40912
1342355677235,   836312,      869,   47866,   41784
1342355677449,   869691,      869,   49332,   42591
1342355677649,   902858,      869,   51075,   43389
1342355677849,   940251,      869,   52785,   43667
1342355678049,   977164,      869,   54261,   44062
1342355678249,  1012221,      869,   55380,   44306
1342355678449,  1058673,      869,   57492,   44340
1342355678658,  1090846,      869,   58510,   44794
1342355678858,  1131694,      869,   59972,   44884
1342355679082,  1176035,      869,   61331,   45364
1342355679282,  1223645,      869,   63080,   45353
1342355679482,  1266153,      869,   64462,   46387
1342355679683,  1315512,      869,   65494,   47160
1342355679883,  1357689,      869,   66212,   47638
1342355680083,  1408022,      869,   68036,   48014
1342355680283,  1458697,      869,   69174,   48855
1342355680483,  1499376,      869,   71372,   48560
1342355680688,  1545319,      869,   72922,   48591
1342355680888,  1591626,      869,   74792,   47809
1342355681088,  1640000,      869,   75709,   47761
1342355681312,  1698068,      869,   76288,   48502
1342355681512,  1754893,      869,   77499,   49051
1342355682332,  1762248,      869,   77761,   48921
1342355682533,  1813858,      869,   78765,   49767
1342355682733,  1867115,      869,   79482,   50406
1342355682933,  1910759,      869,   81276,   49531
1342355683187,  1964130,      869,   83134,   49519
1342355683387,  2018446,      869,   84108,   50107
1342355683587,  2057212,      869,   84613,   52090
1342355683841,  2106657,      869,   85387,   53049
1342355684041,  2164721,      869,   86498,   53252
1342355684241,  2201692,      869,   86709,   53907
1342355684444,  2239419,      869,   87253,   54111
1342355684644,  2281047,      869,   88474,   54340
1342355684845,  2323069,      869,   89426,   54126
1342355685048,  2371246,      869,   90362,   54183
1342355685248,  2428493,      869,   91068,   54882
1342355685448,  2475029,      869,   91904,   54901
1342355685648,  2522023,      869,   92699,   55551
1342355685860,  2580355,      869,   94174,   56031
1342355686060,  2593115,      869,   94142,   56393
1342355686260,  2643576,      869,   94666,   57551
1342355686460,  2676546,      869,   95281,   58216
1342355686660,  2726744,      869,   96170,   57984
1342355686867,  2761998,      869,   96491,   58150
1342355687067,  2775171,      869,   96611,   58159
