time         ,iter.    ,bestScore,live    ,dead
1342290248577,        2,      109,       2,      -1
1342290248777,      245,      255,     175,       5
1342290248985,      615,      286,     381,      34
1342290249197,     1555,      305,     964,      81
1342290249397,     2460,      305,    1545,     135
1342290249597,     3397,      330,    2164,     182
1342290249798,     4598,      333,    2907,     227
1342290249998,     5494,      333,    3386,     261
1342290250198,     6634,      375,    4132,     296
1342290250403,     7966,      391,    4750,     349
1342290250616,     9357,      391,    5576,     408
1342290250830,    10764,      391,    6311,     480
1342290251030,    12210,      399,    7262,     544
1342290251230,    12341,      399,    7353,     551
1342290251458,    13606,      399,    8173,     612
1342290251658,    14432,      399,    8633,     648
