time         ,iter.    ,bestScore,live    ,dead
1342355687132,     1150,      572,     506,      32
1342355687361,    21007,      589,    4649,    -256
1342355687565,    41867,      589,    9530,    -728
1342355687823,    49833,      589,   11464,    -943
1342355688023,    57242,      589,   12542,   -1079
1342355688223,    67983,      589,   12673,    2668
1342355688423,    76845,      589,   12869,    5755
1342355688623,    87761,      589,   12991,    9491
1342355688824,    97235,      589,   13035,   12897
1342355689029,   108466,      589,   13167,   16757
1342355689229,   119304,      589,   13340,   20237
1342355689429,   128104,      589,   13526,   22956
1342355689632,   138384,      589,   13622,   26151
1342355689833,   146711,      589,   13693,   29010
1342355690033,   158177,      589,   13692,   33133
1342355690233,   169051,      589,   13725,   36623
1342355690433,   176552,      589,   13913,   38580
1342355690633,   187833,      589,   14014,   42479
1342355690846,   196514,      589,   14067,   45040
1342355691047,   207883,      589,   14143,   48564
1342355691247,   218921,      589,   14376,   51722
1342355691447,   225329,      589,   14739,   53425
1342355691647,   235676,      589,   15170,   56294
1342355691848,   242480,      589,   15296,   58162
1342355692048,   252628,      589,   15729,   60529
1342355692291,   261930,      589,   15970,   62780
1342355692491,   273009,      589,   16135,   65740
1342355692751,   282366,      589,   16324,   68190
1342355692951,   292641,      589,   16695,   70805
1342355693207,   302001,      589,   16842,   73775
1342355693407,   312963,      589,   16996,   77042
1342355693636,   320829,      589,   17033,   79496
1342355693837,   331147,      589,   17138,   82433
1342355694093,   338616,      589,   17592,   83955
1342355694293,   349133,      589,   17922,   86555
1342355694540,   356366,      589,   18139,   88423
1342355694740,   366802,      589,   18470,   90676
1342355694943,   374097,      589,   18705,   92538
1342355695143,   384536,      589,   19087,   95192
1342355695371,   391949,      589,   19384,   96836
1342355695571,   402640,      589,   19676,   99184
1342355698071,   409974,      589,   19958,  101092
1342355698271,   419251,      589,   20549,  103163
1342355698602,   428345,      589,   20746,  105892
1342355698802,   438678,      589,   21160,  108487
1342355699003,   447165,      589,   21431,  110903
1342355699203,   458488,      589,   21573,  114330
1342355699424,   467241,      589,   21705,  117128
1342355699624,   477832,      589,   21974,  120297
1342355699825,   478866,      589,   22037,  120523
1342355700025,   486904,      589,   22277,  122356
1342355700225,   497936,      589,   22416,  125328
1342355700691,   506753,      589,   22571,  127234
1342355700891,   517973,      589,   22529,  130373
1342355701091,   526268,      589,   22606,  132846
1342355701931,   527568,      589,   22601,  133227
1342355702131,   536156,      589,   22675,  136094
