time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable
1342351968049,     1653,      575,     232,     581,         0,            1,
1342351968269,     8209,      575,    1325,    2600,         0,            1,
1342351968487,    18866,      575,    2772,    5976,         0,            1,
1342351968702,    27841,      575,    3833,    8491,         0,            1,
1342351968965,    36214,      575,    4866,   10856,         0,            1,
1342351969538,    39166,      575,    5207,   11768,         0,            1,
1342351969837,    42490,      575,    5521,   12831,         0,            1,
1342351970139,    48221,      575,    6297,   14103,         0,            1,
1342351970377,    57686,      575,    7230,   16533,         0,            1,
1342351970637,    69106,      575,    8609,   19535,         0,            1,
1342351970895,    81267,      575,   10007,   22583,         0,            1,
1342351971249,    87968,      575,   10612,   24432,         0,            1,
1342351971476,    94471,      575,   11193,   26272,         0,            1,
1342351971804,   100602,      575,   11830,   27950,         0,            1,
1342351972018,   107407,      575,   12402,   29711,         0,            1,
1342351972248,   120495,      575,   13596,   32863,         0,            1,
1342351972522,   133326,      575,   14511,   36162,         0,            1,
1342351973103,   139665,      575,   15080,   37686,         0,            1,
1342351973314,   156561,      575,   16368,   41783,         0,            1,
1342351973539,   169243,      575,   17746,   44623,         0,            1,
1342351973748,   186225,      575,   18935,   48862,         0,            1,
1342351973953,   192410,      575,   19568,   50383,         0,            1,
1342351974183,   209501,      575,   20789,   54640,         0,            1,
1342351974487,   223581,      575,   21467,   57938,         0,            1,
1342351974705,   237752,      575,   22373,   61535,         0,            1,
1342351975134,   247622,      575,   23092,   64087,         0,            1,
1342351975395,   260828,      575,   23983,   67465,         0,            1,
1342351975607,   279005,      575,   24984,   72622,         0,            1,
1342351975831,   295036,      575,   26256,   75860,         0,            1,
1342351976120,   302034,      575,   26640,   77944,         0,            1,
1342351976333,   319771,      575,   27781,   82465,         0,            1,
1342351976551,   337222,      575,   28887,   87249,         0,            1,
1342351976945,   354515,      575,   30327,   90864,         0,            1,
1342351977308,   357824,      575,   30631,   91644,         0,            1,
1342351977576,   372522,      575,   31616,   95086,         0,            1,
1342351977827,   383633,      575,   32140,   97978,         0,            1,
1342351978076,   401307,      575,   33379,  102222,         0,            1,
1342351978569,   410814,      575,   34337,  104028,         0,            1,
1342351978864,   421383,      575,   35157,  106113,         0,            1,
1342351979123,   435824,      575,   36031,  110037,         0,            1,
1342351979363,   453996,      575,   37255,  114279,         0,            1,
1342351979776,   464152,      575,   38008,  116799,         0,            1,
1342351980016,   477593,      575,   39048,  120133,         0,            1,
1342351980239,   495744,      575,   40020,  124846,         0,            1,
1342351980467,   513102,      575,   41200,  129467,         0,            1,
1342351980788,   519961,      575,   41585,  131526,         0,            1,
1342351980997,   534937,      575,   42119,  135895,         0,            1,
1342351981215,   553913,      575,   42872,  141614,         0,            1,
1342351981425,   567018,      575,   43991,  144574,         0,            1,
1342351981794,   577106,      575,   44597,  146744,         0,            1,
1342351982008,   592100,      575,   45303,  150365,         0,            1,
1342351982243,   608520,      575,   46034,  154976,         0,            1,
1342351982456,   622836,      575,   46805,  158381,         0,            1,
1342351982907,   633465,      575,   47422,  161126,         0,            1,
1342351983107,   641001,      575,   48070,  162830,         0,            1,
