time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable
1342351649764,        0,        0,       0,       0,         4,            1,
1342351650029,    20174,       68,    1558,     228,         1,            1,
1342351650304,    43117,      264,    1882,     881,         0,            1,
1342351650521,    49513,      266,    2024,    1622,         0,            1,
1342351650756,    65671,      270,    2673,    3043,         0,            1,
1342351651067,    72142,      270,    2818,    3664,         0,            1,
1342351651291,    81304,      270,    3266,    3960,         0,            1,
1342351651592,    90872,      270,    3574,    4984,         0,            1,
1342351651814,   104392,      270,    3748,    6498,         0,            1,
1342351652141,   110131,      270,    3822,    7151,         0,            1,
1342351652396,   123226,      271,    4087,    7998,         0,            0,
1342351652634,   140232,      271,    4367,    9153,         0,            0,
1342351652863,   157862,      271,    4990,   10821,         0,            0,
1342351653162,   168236,      271,    5046,   12270,         0,            0,
1342351653413,   186901,      271,    5114,   13457,         0,            0,
1342351653643,   206090,      271,    5731,   14128,         0,            0,
1342351653881,   222121,      271,    5907,   15795,         0,            0,
1342351654209,   228724,      271,    6329,   16368,         0,            0,
1342351654484,   242320,      271,    6507,   18077,         0,            0,
1342351654742,   251699,      273,    7037,   18728,         0,            1,
1342351655024,   261647,      277,    7352,   19925,         0,            1,
1342351655255,   268584,      277,    7588,   21016,         0,            1,
1342351655490,   286281,      278,    7578,   23322,         0,            1,
1342351655862,   289849,      278,    7677,   23909,         0,            1,
1342351656080,   303910,      278,    7722,   26225,         0,            1,
1342351656301,   320796,      278,    8242,   28278,         0,            1,
1342351656544,   337495,      278,    8429,   30510,         0,            1,
1342351656785,   347991,      278,    8456,   32304,         0,            1,
1342351657035,   363665,      278,    8490,   34677,         0,            1,
1342351657272,   381363,      278,    8868,   36944,         0,            1,
1342351657508,   398565,      278,    8883,   39159,         0,            1,
1342351657877,   410987,      278,    8888,   41006,         0,            1,
1342351658111,   424402,      278,    8760,   42911,         0,            1,
1342351658334,   440889,      278,    8840,   44639,         0,            1,
1342351658572,   457239,      278,    8913,   46119,         0,            1,
1342351658876,   470563,      278,    9050,   47370,         0,            1,
1342351659096,   484960,      278,    9454,   50123,         0,            1,
1342351659364,   498565,      279,   10031,   52058,         0,            1,
1342351659564,   509649,      279,   10053,   53784,         0,            1,
1342351659780,   523502,      279,   10213,   56225,         0,            1,
1342351660055,   529799,      279,   10210,   57470,         0,            1,
1342351660290,   546903,      280,   10234,   60171,         0,            1,
1342351660523,   564343,      280,   10193,   63053,         0,            1,
1342351660746,   580961,      280,   10217,   64871,         0,            1,
1342351661068,   591472,      280,   10273,   66536,         0,            1,
1342351661291,   608084,      280,   10246,   68377,         0,            1,
1342351661508,   620897,      280,   10322,   69114,         0,            1,
1342351661776,   634532,      280,   10367,   70043,         0,            1,
1342351662173,   651350,      280,   10430,   71257,         0,            1,
1342351662389,   668077,      280,   10420,   72772,         0,            1,
1342351662623,   685582,      280,   10446,   76057,         0,            1,
1342351662842,   702493,      280,   10297,   77641,         0,            1,
1342351663210,   716045,      280,   10168,   79079,         0,            1,
1342351663427,   734190,      280,   10198,   80526,         0,            1,
1342351663655,   752196,      280,   10131,   82368,         0,            1,
1342351663875,   771221,      280,   10141,   83849,         0,            1,
1342351664133,   778155,      280,   10144,   84100,         0,            1,
1342351664354,   795000,      280,   10119,   84704,         0,            1,
1342351664571,   811268,      280,   10202,   85745,         0,            1,
1342351664774,   824943,      280,   10224,   86575,         0,            1,
