time         ,iter.    ,bestScore,live    ,dead
1342289178696,        0,        0,       1,      -1
1342289178896,    11823,      358,    5609,     624
1342289179096,    22776,      358,   10209,    1118
1342289179296,    31715,      365,   13594,    1625
1342289179539,    42917,      367,   17750,    2135
1342289179741,    55710,      367,   22658,    2818
1342289179941,    66157,      367,   26693,    3452
1342289180142,    75420,      367,   30196,    3950
1342289181756,    83796,      367,   33479,    4454
1342289181956,    83796,      367,   33480,    4454
