time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable
1342351998407,     1019,      337,     260,      42,         1,            1,
1342351998694,     5000,      337,     912,     222,         1,            1,
1342351998900,    13970,      337,     938,    1887,         1,            1,
1342351999133,    24922,      337,     934,    4388,         1,            1,
1342351999337,    32600,      337,     945,    5422,         1,            1,
1342351999654,    36288,      337,    1017,    5804,         1,            1,
1342351999937,    43617,      337,    1106,    6367,         1,            1,
1342352000271,    49417,      337,    1164,    6895,         1,            1,
1342352000503,    57413,      337,    1141,    7532,         1,            1,
1342352000710,    64032,      337,    1697,    8183,         1,            1,
1342352000957,    76227,      337,    1721,    9557,         1,            1,
1342352001229,    82006,      337,    1701,   10394,         1,            1,
1342352001460,    91266,      337,    1740,   10995,         1,            1,
1342352001682,    99056,      337,    1709,   11755,         1,            1,
1342352001924,   107074,      337,    1716,   12924,         1,            1,
1342352002168,   116926,      337,    1726,   13878,         1,            1,
1342352002417,   124453,      337,    1738,   14640,         1,            1,
1342352002647,   134091,      337,    1740,   15340,         1,            1,
1342352002997,   143421,      337,    1820,   16366,         1,            1,
1342352003280,   148996,      337,    1880,   16910,         1,            1,
1342352003517,   156502,      337,    1905,   17485,         1,            1,
1342352003765,   167046,      337,    1757,   18748,         1,            1,
1342352003976,   176318,      337,    1779,   19563,         1,            1,
1342352004236,   185901,      337,    1767,   21285,         1,            1,
1342352004446,   195094,      337,    1920,   22850,         1,            1,
1342352004719,   204566,      337,    1925,   23361,         1,            1,
1342352004999,   214399,      337,    1892,   24499,         1,            1,
1342352005240,   226312,      337,    1814,   25339,         1,            1,
1342352005451,   231943,      337,    1831,   25686,         1,            1,
1342352005693,   241630,      337,    1807,   26313,         1,            1,
1342352005932,   247736,      337,    1833,   26624,         1,            1,
1342352006159,   257460,      337,    1941,   28051,         1,            1,
1342352006376,   267741,      337,    1986,   28841,         1,            1,
1342352006633,   278407,      337,    2092,   29443,         1,            1,
1342352006855,   288206,      337,    2378,   29707,         1,            1,
1342352007084,   296950,      337,    3159,   29750,         1,            1,
1342352007369,   305812,      337,    3424,   30744,         1,            1,
1342352007576,   315287,      337,    3494,   31169,         1,            1,
1342352007791,   324457,      337,    3673,   31248,         1,            1,
1342352007997,   334313,      337,    3665,   31398,         1,            1,
1342352008208,   342474,      337,    3631,   31889,         1,            1,
1342352008444,   351769,      337,    3717,   32331,         1,            1,
1342352008656,   361422,      337,    3796,   32434,         1,            1,
1342352008910,   369888,      337,    3636,   33094,         1,            1,
1342352009220,   378393,      337,    5021,   32381,         1,            1,
1342352009455,   382244,      337,    5012,   32570,         1,            1,
1342352009659,   391181,      337,    5580,   32440,         1,            1,
1342352009874,   397516,      337,    6616,   31724,         1,            1,
1342352010116,   407482,      337,    7274,   31711,         1,            1,
1342352010349,   417774,      337,    8754,   30434,         1,            1,
1342352010581,   425041,      337,   10231,   29050,         1,            1,
1342352010799,   434524,      337,   12229,   27093,         1,            1,
1342352011007,   444118,      337,   14112,   25288,         1,            1,
1342352011278,   451908,      337,   15736,   23716,         1,            1,
1342352011489,   461288,      337,   17655,   21941,         1,            1,
1342352011692,   470914,      337,   19415,   20274,         1,            1,
1342352011948,   480273,      337,   21290,   18609,         1,            1,
1342352012170,   489357,      337,   23266,   16681,         1,            1,
1342352012458,   499043,      337,   25182,   14797,         1,            1,
1342352012729,   508072,      337,   27196,   12970,         1,            1,
1342352012965,   518310,      337,   29047,   11119,         1,            1,
1342352013174,   526054,      337,   30690,    9476,         1,            1,
1342352013402,   534570,      337,   32535,    7738,         1,            1,
