time         ,iter.    ,bestScore,live    ,dead
1342289165151,        0,        0,       0,       0
1342289165352,      288,      282,     187,       6
1342289165552,      648,      286,     409,      35
1342289165752,     1563,      305,     971,      82
1342289165955,     2534,      305,    1576,     137
1342289166155,     3715,      333,    2379,     194
1342289166355,     4927,      333,    3112,     239
1342289166564,     6209,      333,    3781,     287
1342289166764,     7474,      391,    4538,     329
1342289166964,     8716,      391,    5197,     381
1342289167164,    10095,      391,    5970,     442
1342289167364,    11366,      399,    6752,     508
1342289167666,    12244,      399,    7291,     545
1342289167866,    13586,      399,    8164,     607
1342289168066,    14976,      416,    8911,     663
1342289168267,    15470,      416,    9121,     684
