time         ,iter.    ,bestScore,live    ,dead
1342289175136,        0,        0,       1,      -1
1342289175336,    26623,      170,    7358,    2026
1342289175544,    50192,      170,   13503,    3681
1342289175744,    69050,      170,   17973,    4963
1342289175968,    89104,      170,   22791,    6397
1342289176168,   117613,      170,   29145,    8361
1342289176375,   139428,      170,   34334,    9672
1342289176576,   158258,      173,   38623,   10703
1342289176780,   176830,      173,   42661,   11836
1342289176980,   204822,      173,   48731,   13674
1342289177181,   224860,      173,   53317,   15094
1342289178490,   236762,      173,   55906,   15931
1342289178691,   236762,      173,   55907,   15931
