time         ,iter.    ,bestScore,live    ,dead
1342294039070,        0,        0,       1,      -1
1342294039270,       90,      149,      75,       0
1342294039470,      494,      251,     343,       9
1342294039670,     2560,      251,    1015,      60
1342294039870,     4376,      394,    2052,     113
1342294040070,     6191,      394,    2922,     171
1342294040270,     9496,      454,    4205,     311
1342294040470,    12181,      454,    5570,     406
1342294040670,    14799,      454,    6736,     500
1342294040871,    17285,      454,    8199,     558
1342294041071,    20739,      454,    9632,     397
1342294041271,    24877,      454,   11229,     501
1342294041471,    28131,      454,   12553,     607
1342294041672,    31993,      454,   13853,     725
1342294042016,    35340,      454,   15328,     857
1342294042216,    38930,      454,   17239,     973
1342294042426,    42954,      454,   18898,    1144
1342294042649,    46640,      454,   20747,    1163
1342294042855,    50777,      454,   22344,    1337
1342294043080,    54456,      454,   24195,    1491
1342294043578,    57691,      454,   25973,    1608
1342294043778,    61225,      454,   27808,    1745
1342294043979,    64823,      454,   29512,    1807
1342294044179,    67933,      454,   31072,    1857
1342294044379,    70602,      454,   32529,    1952
1342294044579,    74062,      454,   34184,    2090
1342294044779,    77483,      454,   35642,    2228
1342294044989,    81272,      454,   36938,    2381
1342294045190,    84700,      454,   38546,    2458
1342294045390,    87805,      454,   40014,    2566
1342294045590,    91736,      454,   41361,    2646
1342294046193,    96175,      454,   42445,    2788
1342294046448,    99311,      454,   44114,    2911
1342294046668,   102569,      454,   45800,    3033
1342294046909,   105705,      454,   47344,    3145
1342294047115,   109984,      454,   48705,    3306
1342294047315,   113629,      454,   50316,    3448
1342294047515,   117389,      454,   52098,    3596
1342294047715,   120898,      454,   53875,    3539
1342294047915,   124592,      454,   55314,    3667
1342294048115,   129027,      454,   57037,    3807
1342294048315,   133598,      454,   58635,    4003
1342294048515,   138080,      454,   60281,    4184
1342294048716,   141940,      454,   61768,    4271
1342294048916,   145731,      454,   63253,    4284
1342294049870,   148436,      454,   64338,    4373
1342294050070,   148436,      454,   64339,    4373
