time         ,iter.    ,bestScore,live    ,dead
1342294358304,        0,        0,       0,       0
1342294358504,       46,       70,      40,      -2
1342294358704,      167,       70,     111,       0
1342294358904,      289,      174,     192,       0
1342294359104,      486,      227,     305,       9
1342294359304,      693,      265,     398,      15
1342294359505,     1591,      285,     921,      40
1342294359705,     3411,      385,    1783,    -311
1342294359905,     5306,      385,    2681,    -267
1342294360105,     7429,      385,    3673,    -251
1342294360305,     9439,      385,    4566,    -354
1342294360505,    11894,      385,    5394,    -277
1342294360707,    14853,      385,    6277,    -126
1342294360907,    17396,      385,    7228,     -21
1342294361107,    19132,      395,    7879,     -54
1342294361307,    21529,      395,    8559,      -1
1342294361507,    23486,      395,    9308,      15
1342294361707,    25564,      395,   10305,     -45
1342294361907,    27326,      395,   11404,    -121
1342294362107,    29324,      395,   12420,    -105
1342294362307,    31563,      395,   13456,      -9
1342294362507,    34770,      395,   14744,      87
1342294362708,    37197,      395,   15715,     200
1342294362908,    40570,      395,   16781,     366
1342294363108,    43075,      395,   17686,     420
1342294363309,    47087,      395,   18604,     659
1342294363520,    49609,      395,   19556,     772
1342294363720,    52102,      395,   20495,     799
1342294363920,    54147,      395,   21549,     615
1342294364120,    56682,      395,   22761,     505
1342294364476,    58851,      395,   23783,     241
1342294364676,    61309,      395,   24854,     218
1342294364876,    64035,      395,   26084,     311
1342294365076,    66944,      395,   27150,     452
1342294365277,    71023,      395,   28211,     566
1342294365477,    74461,      395,   29159,     734
1342294365677,    77459,      395,   30161,     807
1342294365877,    80173,      395,   31014,     955
1342294366077,    83095,      395,   32163,     976
1342294366277,    85113,      395,   33167,     996
1342294366477,    87685,      395,   34112,     979
1342294366677,    90156,      395,   35087,    1026
1342294366877,    93849,      395,   36205,    1262
1342294367077,    96859,      395,   37128,    1388
1342294367277,   100199,      395,   37969,    1497
1342294367689,   102490,      395,   38874,    1557
1342294367890,   105447,      395,   39994,    1697
1342294368090,   108786,      395,   40813,    1726
1342294368290,   111819,      395,   41894,    1873
1342294368490,   111938,      395,   41942,    1878
