time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable,mapName
1342356243289,        1,        0,       1,      -1,         3,            1,map1
1342356243501,     6691,      212,     104,    1050,         0,            1,map1
1342356243724,    11947,      212,       0,    1553,         0,            1,map1
1342356243778,      235,      986,     161,      10,         3,            0,map10
1342356243985,     2101,      986,    1051,      -7,         3,            0,map10
1342356244203,     3537,      986,    2011,     -78,         3,            0,map10
1342356244421,     5313,      986,    3021,    -167,         3,            0,map10
1342356244625,     6464,      986,    3784,    -193,         3,            0,map10
1342356244913,     6645,      986,    3899,    -174,         3,            0,map10
1342356244953,     3402,       68,     397,      79,         1,            1,map2
1342356245232,    14955,       83,    1110,     400,         0,            0,map2
1342356245515,    29256,       83,    2107,     740,         0,            0,map2
1342356245789,    40261,       83,    2839,    1244,         0,            0,map2
1342356245989,    49760,       83,    3182,    1817,         0,            0,map2
1342356246045,     2190,      275,     302,     484,         0,            1,map3
1342356246334,    12266,      275,    1147,    3599,         0,            1,map3
1342356246557,    18783,      275,    1484,    5690,         0,            1,map3
1342356246939,    27703,      275,    2024,    8418,         0,            1,map3
1342356247166,    27740,      275,    2029,    8430,         0,            1,map3
1342356247212,     1701,      575,     246,     587,         0,            1,map4
1342356247493,     8202,      575,    1325,    2594,         0,            1,map4
1342356247815,    15532,      575,    2431,    4956,         0,            1,map4
1342356248041,    24421,      575,    3508,    7607,         0,            1,map4
1342356248242,    30571,      575,    4154,    9316,         0,            1,map4
1342356248292,      628,      353,     251,      22,         3,            1,map5
1342356248540,     4764,      353,    1369,      10,         3,            1,map5
1342356248803,     7488,      353,    1941,     117,         3,            1,map5
1342356249081,    13511,     1301,    2586,    1969,         0,            1,map5
1342356249295,    19174,     1301,    2950,    3904,         0,            1,map5
1342356249352,     1051,      337,     266,      46,         1,            1,map6
1342356249591,     4975,      337,     913,     215,         1,            1,map6
1342356249880,     8267,      337,     937,     588,         1,            1,map6
1342356250151,    15550,      337,     926,    2214,         1,            1,map6
1342356250352,    20470,      337,     932,    3263,         1,            1,map6
1342356250401,     2217,      867,     405,     250,         0,            1,map7
1342356250603,    12940,      869,    1759,    1390,         0,            1,map7
1342356250889,    24053,      869,    2977,    2181,         0,            1,map7
1342356251160,    32372,      869,    3948,    2631,         0,            1,map7
1342356251382,    40404,      869,    4698,    3379,         0,            1,map7
1342356251393,       18,      351,      18,      -1,        12,            0,map8
1342356251645,     3202,      397,    1376,    -245,        10,            0,map8
1342356251898,     5633,      506,    2239,    -233,         3,            0,map8
1342356252186,    11477,      575,    3267,     -54,         0,            0,map8
1342356252416,    13927,      575,    3733,       7,         0,            0,map8
1342356252449,      539,      714,     264,       5,        11,            0,map9
1342356252680,     3184,      714,    1334,    -272,        11,            0,map9
1342356252896,     5249,      714,    2243,    -379,        11,            0,map9
1342356253211,     6943,      714,    2939,    -517,        11,            0,map9
1342356253478,     8773,      714,    3573,    -584,        11,            0,map9

