time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable,mapName
1342357176383,    17585,      142,       0,    7266,         0,            1,map8x8-025
1342357176435,     2244,       85,     602,    -165,         1,            1,map8x8-026
1342357176655,    10220,       89,    1929,    -459,         1,            1,map8x8-026
1342357176908,    17827,       89,    3369,    -778,         1,            1,map8x8-026
1342357177155,    25789,       89,    4669,   -1219,         1,            1,map8x8-026
1342357177378,    33878,       89,    5782,   -1272,         1,            1,map8x8-026
1342357177584,    34357,       89,    5830,   -1269,         1,            1,map8x8-026
1342357177630,     3309,      138,     152,    1317,         0,            1,map8x8-027
1342357177930,    10629,      138,     173,    4083,         0,            1,map8x8-027
1342357178199,    21324,      138,     339,    7850,         0,            1,map8x8-027
1342357178488,    31557,      138,     152,   11510,         0,            1,map8x8-027
1342357178759,    35900,      138,      32,   12988,         0,            1,map8x8-027
1342357178804,     2360,       19,     176,     337,         0,            0,map8x8-028
1342357179075,    10886,       19,     356,    1733,         0,            0,map8x8-028
1342357179302,    19794,       19,     295,    2807,         0,            0,map8x8-028
1342357179509,    28562,       19,     269,    3450,         0,            0,map8x8-028
1342357179721,    37207,       19,     261,    3732,         0,            0,map8x8-028
1342357179921,    38067,       19,     165,    3882,         0,            0,map8x8-028
1342357179998,        0,        0,       0,       0,         2,            0,map8x8-029
1342357180285,    11305,       40,     441,    1872,         0,            0,map8x8-029
1342357180563,    20058,       40,     699,    3031,         0,            0,map8x8-029
1342357180854,    28648,       40,    1066,    4107,         0,            0,map8x8-029
1342357181069,    34714,       40,    1307,    4556,         0,            0,map8x8-029
1342357181123,     2642,       56,     165,     488,         0,            1,map8x8-030
1342357181396,    12861,       57,     189,    2893,         0,            1,map8x8-030
1342357181673,    24074,       57,     363,    4968,         0,            1,map8x8-030
1342357181968,    30886,       59,     318,    5621,         0,            1,map8x8-030
1342357182238,    37657,       60,     297,    6326,         0,            1,map8x8-030
1342357182292,     2438,      210,     166,    1162,         0,            1,map8x8-031
1342357182519,    17382,      210,     687,    7330,         0,            1,map8x8-031
1342357182804,    29784,      210,     972,   12251,         0,            1,map8x8-031
1342357183143,    42000,      210,     988,   16753,         0,            1,map8x8-031
1342357183367,    47760,      210,    1026,   18933,         0,            1,map8x8-031
1342357183420,     2475,       60,     124,     723,         0,            1,map8x8-032
1342357183696,    11147,       60,     346,    2975,         0,            1,map8x8-032
1342357183959,    20094,       60,     559,    5119,         0,            1,map8x8-032
1342357184270,    32326,       60,     734,    7986,         0,            1,map8x8-032
1342357184476,    36597,       60,     795,    8798,         0,            1,map8x8-032
1342357184487,      671,       68,       0,     328,         0,            1,map8x8-033
1342357184489,        4,        0,       0,       3,         0,            1,map8x8-034
1342357184513,     1675,       58,     126,     363,         0,            1,map8x8-035
1342357184805,    10726,       58,     171,    1073,         0,            1,map8x8-035
1342357185074,    23844,       58,     195,    3727,         0,            1,map8x8-035
1342357185313,    39867,       58,     189,    7392,         0,            1,map8x8-035
1342357185513,    53716,       62,     160,   10087,         0,            1,map8x8-035
1342357185545,     2528,      132,     101,     601,         0,            1,map8x8-036
1342357185803,     9802,      132,     107,    2605,         0,            1,map8x8-036
1342357186078,    25382,      132,      21,    6887,         0,            1,map8x8-036
1342357186399,    36274,      132,      13,    8702,         0,            1,map8x8-036
1342357186611,    43587,      132,      16,   10567,         0,            1,map8x8-036
1342357186773,    10208,      138,     376,    3311,         0,            1,map8x8-037
1342357186987,    17808,      138,     490,    5655,         0,            1,map8x8-037
1342357187238,    29164,      138,     483,    9147,         0,            1,map8x8-037
1342357187562,    39981,      138,     516,   12198,         0,            1,map8x8-037
1342357187773,    43563,      138,     535,   13296,         0,            1,map8x8-037
1342357187824,     2243,      423,     227,     594,         0,            1,map8x8-038
1342357188106,    10124,      429,     752,    2849,         0,            1,map8x8-038
1342357188393,    19375,      431,    1559,    5804,         0,            1,map8x8-038
1342357188614,    28649,      431,    2531,    8554,         0,            1,map8x8-038
1342357188819,    34854,      431,    3096,   10427,         0,            1,map8x8-038
1342357188880,     2662,       99,     430,     -86,         1,            0,map8x8-039
1342357189161,    11964,       99,    1428,    -650,         1,            0,map8x8-039
1342357189425,    24630,       99,    2695,   -1738,         1,            0,map8x8-039
1342357189748,    34515,       99,    3341,   -2329,         1,            0,map8x8-039
1342357189964,    37642,       99,    3672,   -2584,         1,            0,map8x8-039
1342357189994,     1501,       65,       0,     490,         0,            1,map8x8-040
1342357189997,        4,        0,       0,       3,         0,            1,map8x8-041
1342357190011,      727,       86,      85,      80,         0,            0,map8x8-042
1342357190290,     9732,       86,     661,     547,         0,            0,map8x8-042
1342357190558,    22559,       86,     900,    1143,         0,            0,map8x8-042
1342357190818,    32189,       86,    1076,    1746,         0,            0,map8x8-042
1342357191054,    41216,       86,    1286,    2100,         0,            0,map8x8-042
1342357191079,     2281,      144,       0,    1147,         0,            1,map8x8-043
1342357191093,      669,       57,      69,     163,         0,            1,map8x8-044
1342357191333,    14574,       57,     471,    1183,         0,            1,map8x8-044
1342357191588,    29005,       57,     597,    1803,         0,            1,map8x8-044
1342357191854,    34611,       57,     702,    2314,         0,            1,map8x8-044
1342357192109,    42936,       57,     949,    2459,         0,            1,map8x8-044
1342357192335,    42936,       57,     950,    2458,         0,            1,map8x8-044
1342357192389,     3473,      134,     174,    1468,         0,            1,map8x8-045
1342357192637,    15337,      134,     365,    6457,         0,            1,map8x8-045
1342357192892,    26949,      134,     625,   11232,         0,            1,map8x8-045
1342357193166,    37991,      134,    1007,   15071,         0,            1,map8x8-045
1342357193399,    45317,      134,    1315,   17467,         0,            1,map8x8-045
1342357193447,     3531,      213,      91,    1249,         0,            1,map8x8-046
1342357193673,    15637,      215,      68,    4233,         0,            1,map8x8-046
1342357193874,    21718,      215,       0,    5842,         0,            1,map8x8-046
1342357193924,     2609,       20,     100,     655,         0,            0,map8x8-047
1342357194178,    11093,       20,     136,    2600,         0,            0,map8x8-047
1342357194450,    19229,       20,     471,    4227,         0,            0,map8x8-047
1342357194744,    27219,       20,     815,    5552,         0,            0,map8x8-047
1342357194975,    32493,       20,     922,    6332,         0,            0,map8x8-047
1342357195013,     2636,      271,     373,     566,         0,            1,map8x8-048
1342357195240,    11900,      271,    1299,    2276,         0,            1,map8x8-048
1342357195493,    21560,      271,    1979,    4337,         0,            1,map8x8-048
1342357195807,    31760,      271,    2278,    6862,         0,            1,map8x8-048
1342357196036,    38316,      271,    2707,    8164,         0,            1,map8x8-048
1342357196118,     6326,       61,     171,    1325,         0,            1,map8x8-049
1342357196412,    20455,       61,     259,    3353,         0,            1,map8x8-049
1342357196687,    30985,       61,     285,    4791,         0,            1,map8x8-049
1342357196927,    40902,       61,     379,    5461,         0,            1,map8x8-049
1342357197132,    43988,       61,     414,    5639,         0,            1,map8x8-049
1342357197230,     4159,       65,      55,    1630,         0,            1,map8x8-050
1342357197430,    12076,       65,       0,    4005,         0,            1,map8x8-050
1342357197525,     6143,      136,     347,    1714,         0,            1,map8x8-051
1342357197796,    17228,      136,     582,    4348,         0,            1,map8x8-051
1342357198041,    26407,      136,     544,    6530,         0,            1,map8x8-051
1342357198300,    37795,      136,     467,    9052,         0,            1,map8x8-051
1342357198520,    43055,      136,     443,   10199,         0,            1,map8x8-051
1342357198556,     2443,       67,     477,    -267,         0,            0,map8x8-052
1342357198831,    11332,       67,    1337,   -1106,         0,            0,map8x8-052
1342357199072,    20454,       67,    2089,   -1858,         0,            0,map8x8-052
1342357199334,    32867,       67,    2860,   -2629,         0,            0,map8x8-052
1342357199569,    39030,       67,    3332,   -3101,         0,            0,map8x8-052
1342357199611,     2050,      350,      23,     777,         0,            1,map8x8-053
1342357199963,    10368,      350,     901,    2996,         0,            1,map8x8-053
1342357200260,    20259,      350,    1461,    5570,         0,            1,map8x8-053
1342357200533,    30434,      350,    1985,    8319,         0,            1,map8x8-053
1342357200752,    30434,      350,    1985,    8319,         0,            1,map8x8-053
1342357200801,     8225,        0,     101,     429,         1,            1,map8x8-054
1342357201080,    32858,        0,      68,    1646,         1,            1,map8x8-054
1342357201394,    41131,        0,      47,    1887,         1,            1,map8x8-054
1342357201600,    51139,        0,       0,    1934,         1,            1,map8x8-054
1342357201656,     3024,       20,     126,     507,         0,            0,map8x8-055
1342357201951,    13706,       20,      86,    1565,         0,            0,map8x8-055
1342357202203,    24181,       20,     104,    1745,         0,            0,map8x8-055
1342357202461,    34027,       20,     127,    2133,         0,            0,map8x8-055
1342357202702,    40564,       20,     209,    2833,         0,            0,map8x8-055
1342357202791,     3746,       66,     104,    1586,         0,            1,map8x8-056
1342357203028,    10657,       66,       0,    4750,         0,            1,map8x8-056
1342357203060,     2333,       65,       0,     827,         0,            1,map8x8-057
1342357203077,      716,      283,     170,     205,         0,            0,map8x8-058
1342357203358,    10586,      283,    1011,    3192,         0,            0,map8x8-058
1342357203625,    18124,      283,    1293,    5444,         0,            0,map8x8-058
1342357203842,    29375,      283,    1815,    8499,         0,            0,map8x8-058
1342357204127,    42981,      283,    2373,   12230,         0,            0,map8x8-058
1342357204142,      842,       44,     170,       3,         0,            0,map8x8-059
1342357204427,    10015,       44,     800,    -360,         0,            0,map8x8-059
1342357204709,    22941,       44,    1300,    -860,         0,            0,map8x8-059
1342357204922,    32649,       44,    1723,   -1282,         0,            0,map8x8-059
1342357205153,    42089,       44,    2306,   -1865,         0,            0,map8x8-059
1342357205189,     2618,       41,     174,     284,         0,            1,map8x8-060
1342357205409,    11870,       41,     309,    1481,         0,            1,map8x8-060
1342357205646,    27257,       41,     259,    3261,         0,            1,map8x8-060
1342357205980,    39608,       84,     357,    3985,         0,            1,map8x8-060
1342357206238,    45599,       84,     349,    4446,         0,            1,map8x8-060
1342357206291,     2791,       66,      31,    1289,         0,            1,map8x8-061
1342357206492,     3544,       66,       0,    1602,         0,            1,map8x8-061
1342357206542,     4004,      288,     242,    1328,         0,            1,map8x8-062
1342357206800,    18099,      288,     231,    6269,         0,            1,map8x8-062
1342357207060,    31712,      288,     224,   11028,         0,            1,map8x8-062
1342357207326,    45100,      288,     259,   15287,         0,            1,map8x8-062
1342357207535,    55144,      288,     230,   19063,         0,            1,map8x8-062
1342357207587,     2234,       60,      46,     828,         0,            1,map8x8-063
1342357207860,     9722,       60,     124,    2322,         0,            1,map8x8-063
1342357208104,    17089,       60,     150,    3955,         0,            1,map8x8-063
1342357208333,    24754,       60,     137,    5521,         0,            1,map8x8-063
1342357208549,    30009,       60,     334,    6954,         0,            1,map8x8-063
1342357208767,    30009,       60,     334,    6955,         0,            1,map8x8-063
1342357208771,        3,        0,       0,       1,         0,            0,map8x8-064
1342357208773,        3,        0,       0,       2,         0,            1,map8x8-065
1342357208847,     4445,       62,      88,    1502,         0,            1,map8x8-066
1342357209053,    14767,       62,     160,    4677,         0,            1,map8x8-066
1342357209324,    22897,       62,     225,    6984,         0,            1,map8x8-066
1342357209584,    32327,       62,     242,    9652,         0,            1,map8x8-066
1342357209889,    37876,       62,     268,   11599,         0,            1,map8x8-066
1342357209928,     2792,       43,     126,     358,         0,            0,map8x8-067
1342357210183,    11917,       43,     263,    1405,         0,            0,map8x8-067
1342357210467,    20647,       43,     437,    2075,         0,            0,map8x8-067
1342357210722,    29605,       43,     690,    2521,         0,            0,map8x8-067
1342357210926,    35537,       43,     825,    2581,         0,            0,map8x8-067
1342357210930,        4,        0,       0,       3,         0,            1,map8x8-068
1342357210978,     2815,       50,     556,    -154,         1,            1,map8x8-069
