time         ,iter.    ,bestScore,live    ,dead
1342294159742,        0,        0,       1,      -1
1342294159942,       54,       70,      47,      -1
1342294160142,      170,      197,     142,      -3
1342294160342,      367,      251,     252,       6
1342294160542,      779,      251,     468,      10
1342294160756,     1930,      251,     843,      37
1342294160956,     3201,      256,    1378,      48
1342294161162,     4678,      394,    2198,      85
1342294161362,     6487,      411,    3065,     128
1342294161562,     9231,      454,    4207,     251
1342294161762,    11715,      454,    5410,     325
1342294161972,    14840,      454,    6726,     439
1342294162172,    17420,      454,    8141,     523
1342294162372,    20823,      454,    9610,     662
1342294162580,    23779,      454,   10717,     800
1342294162780,    26263,      454,   11874,     875
1342294162981,    29234,      454,   13317,     895
1342294163182,    31510,      454,   14552,     913
1342294163382,    34722,      454,   16127,     984
1342294163582,    37259,      454,   17408,     937
1342294163782,    40615,      454,   18942,     984
1342294163982,    43247,      454,   19910,    1085
1342294164182,    47218,      454,   21288,    1259
1342294164382,    50353,      454,   22714,    1265
1342294164582,    54696,      454,   24027,    1407
1342294164921,    57867,      454,   25138,    1538
1342294165121,    61051,      454,   26729,    1656
1342294165328,    63974,      454,   28175,    1754
1342294165528,    67552,      454,   29366,    1839
1342294165742,    70238,      454,   30732,    1894
1342294165942,    73153,      454,   32326,    1966
1342294166142,    76694,      454,   33698,    2078
1342294166343,    79415,      454,   35033,    2178
1342294166543,    83078,      454,   36434,    2335
1342294166743,    86408,      454,   37811,    2458
1342294166943,    89619,      454,   39385,    2554
1342294167143,    93137,      454,   40562,    2686
1342294167343,    97076,      454,   42262,    2867
1342294167683,    98931,      454,   42881,    2930
1342294167883,   103500,      454,   44467,    3129
1342294168099,   108605,      454,   45680,    3373
1342294168299,   112518,      454,   47217,    3536
1342294168499,   116603,      454,   48845,    3705
1342294168699,   119136,      454,   49936,    3793
1342294168899,   122884,      454,   51545,    3910
1342294169099,   126037,      454,   52894,    4025
1342294169299,   129431,      454,   54475,    4133
1342294169499,   131902,      454,   55817,    4186
1342294169699,   135452,      454,   57342,    4311
1342294169899,   135669,      454,   57449,    4319
