time         ,iter.    ,bestScore,live    ,dead
1342294439191,        0,        0,       0,       0
1342294439391,       50,       70,      43,      -1
1342294439591,      135,      151,     112,      -4
1342294439791,      324,      197,     216,       5
1342294439991,      378,      251,     259,       6
1342294440191,      759,      251,     469,       9
1342294440391,     1926,      251,     839,      37
1342294440592,     3890,      394,    1778,      59
1342294440792,     5753,      394,    2714,     109
1342294440992,     8363,      454,    3821,     211
1342294441192,    11069,      454,    5044,     332
1342294441392,    13519,      454,    6209,     379
1342294441628,    16772,      454,    7670,     505
1342294441828,    19629,      454,    9161,     605
1342294442028,    23138,      454,   10473,     777
1342294442228,    25721,      454,   11626,     866
1342294442428,    28625,      454,   13008,     890
1342294442630,    31044,      454,   14240,     898
1342294442830,    34088,      454,   15791,     971
1342294443030,    36522,      454,   17039,     941
1342294443230,    40030,      454,   18659,     973
1342294443438,    43172,      454,   19882,    1084
1342294443638,    46952,      454,   21194,    1246
1342294443847,    50250,      454,   22642,    1271
1342294444047,    54325,      454,   23976,    1391
1342294444397,    57897,      454,   25155,    1539
1342294444597,    61054,      454,   26729,    1656
1342294444809,    63998,      454,   28183,    1755
1342294445009,    67491,      454,   29329,    1836
1342294445236,    70202,      454,   30713,    1893
1342294445436,    73174,      454,   32337,    1967
1342294445636,    76667,      454,   33680,    2077
1342294445836,    79224,      454,   34942,    2169
1342294446036,    82878,      454,   36328,    2326
1342294446236,    86242,      454,   37712,    2452
1342294446437,    89299,      454,   39266,    2539
1342294446637,    92874,      454,   40417,    2675
1342294446838,    96592,      454,   42077,    2845
1342294447195,    98903,      454,   42862,    2929
1342294447395,   103292,      454,   44412,    3121
1342294447606,   108556,      454,   45651,    3371
1342294447806,   112383,      454,   47144,    3530
1342294448007,   116486,      454,   48785,    3701
1342294448207,   118717,      454,   49749,    3774
1342294448407,   122403,      454,   51323,    3919
1342294448607,   125466,      454,   52618,    4004
1342294448807,   128731,      454,   54095,    4106
1342294449013,   131342,      454,   55548,    4196
1342294449213,   134643,      454,   56953,    4285
