time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable,mapName
1342356243047,        0,        0,       0,       0,         3,            1,map1
1342356243247,        0,        0,       1,      -1,         3,            1,map1
1342356243448,      242,      212,      17,      55,         0,            1,map1
1342356243648,     3219,      212,     137,     499,         0,            1,map1
1342356243848,     8289,      212,     144,    1051,         0,            1,map1
1342356244048,    17642,      212,     115,    1485,         0,            1,map1
1342356244078,        0,        0,       0,       0,        51,            1,map10
1342356244278,     2540,     1067,     354,     446,         0,            0,map10
1342356244478,     6895,     1067,     834,    1060,         0,            0,map10
1342356244678,    11264,     1067,    1313,    1597,         0,            0,map10
1342356244879,    16053,     1067,    1839,    2065,         0,            0,map10
1342356245079,    21068,     1067,    2394,    2492,         0,            0,map10
1342356245122,        0,        0,       0,       0,         4,            1,map2
1342356245322,    20444,      274,    2117,   -1030,         0,            1,map2
1342356245522,    56616,      274,    7285,   -6197,         0,            1,map2
1342356245722,    98517,      274,   13271,  -12183,         0,            1,map2
1342356245922,   134504,      274,   18412,  -17324,         0,            1,map2
1342356246122,   167774,      274,   23165,  -22077,         0,            1,map2
1342356246172,        0,        0,       1,      -1,         4,            1,map3
1342356246372,    42188,      275,    2537,    9262,         0,            1,map3
1342356246572,    85828,      275,    4715,   19065,         0,            1,map3
1342356246772,   148841,      275,    6281,   31037,         0,            1,map3
1342356246972,   183581,      275,    7162,   37293,         0,            1,map3
1342356247172,   241598,      275,    9294,   47633,         0,            1,map3
1342356247210,        0,        0,       1,      -1,         8,            1,map4
1342356247410,    28459,      561,     142,    6144,         0,            1,map4
1342356247614,    71636,      573,    4943,   19275,         0,            1,map4
1342356247814,    91949,      573,    6877,   25165,         0,            1,map4
1342356248016,   142183,      573,   11298,   39636,         0,            1,map4
1342356248475,   165774,      573,   13744,   45418,         0,            1,map4
1342356248675,   165774,      573,   13744,   45418,         0,            1,map4
1342356248680,        0,        0,       1,      -1,        18,            1,map5
1342356248880,    16465,      389,    2529,    3193,         1,            1,map5
1342356249096,    32717,      389,    4864,    6215,         1,            1,map5
1342356249296,    50184,      389,    7205,    8776,         1,            1,map5
1342356249534,    67090,      389,    9264,   11540,         1,            1,map5
1342356249734,    81060,      389,   10623,   13709,         1,            1,map5
1342356249738,        0,        0,       1,      -1,        17,            1,map6
1342356249938,    31616,      337,     874,    1425,         1,            1,map6
1342356250138,    61984,      337,    1675,    3292,         1,            1,map6
1342356250338,    93778,      337,    2402,    6339,         1,            1,map6
1342356250538,   123211,      337,    6243,    6434,         1,            1,map6
1342356250738,   158807,      337,    6512,    7920,         1,            1,map6
1342356250757,        0,        0,       0,       0,        12,            1,map7
1342356250979,    51319,      869,    9337,   -7158,         0,            1,map7
1342356251180,   113542,      869,   21782,  -19603,         0,            1,map7
1342356251380,   153827,      869,   29839,  -27660,         0,            1,map7
1342356251817,   195382,      869,   38150,  -35971,         0,            1,map7
1342356252017,   195382,      869,   38150,  -35971,         0,            1,map7
1342356252045,       49,      397,      32,      -1,        10,            0,map8
1342356252245,    38695,      572,    8666,   -1530,         1,            0,map8
1342356252445,    83013,      572,   13251,   -2479,         1,            0,map8
1342356252656,   123254,      579,   17749,   -3309,         0,            0,map8
1342356252856,   167356,      589,   24697,   -5147,         0,            0,map8
1342356253056,   204619,      589,   28254,   -5954,         0,            0,map8
1342356253089,        0,        0,       1,      -1,        43,            0,map9
1342356253289,    18263,      648,    5487,   -1707,        11,            0,map9
1342356253489,    29460,      648,    8687,   -3218,        11,            0,map9
1342356253689,    41822,      648,   12478,   -4794,        11,            0,map9
1342356253894,    46041,      648,   13498,   -5301,        11,            0,map9
1342356254097,    60332,      648,   17550,   -7481,        11,            0,map9

