time         ,iter.    ,bestScore,live    ,dead
1342295200182,      377,       41,      62,      34
1342295201398,     2133,      118,     359,     190
1342295202568,     2860,      118,     440,     321
1342295203806,     4956,      135,     446,     916
1342295205069,     7330,      135,     474,    1575
1342295207446,     7650,      135,     472,    1698
1342295208539,     8158,      135,     476,    1805
1342295209796,    15751,      135,     511,    3630
1342295211064,    23306,      135,     477,    5010
1342295213419,    23306,      135,     477,    5010
