time         ,iter.    ,bestScore,live    ,dead
1342294807981,        0,        0,       1,      -1
1342294808196,    23960,      136,     744,    5806
1342294810192,    50701,      136,    1100,   11549
1342294810392,   103210,      136,    1377,   22396
1342294812308,   129574,      136,    1457,   27285
1342294812508,   182060,      136,    1525,   35888
1342294814928,   208133,      136,    1593,   40015
1342294815128,   256878,      136,    1505,   46472
1342294817082,   285548,      136,    1492,   50034
1342294817282,   337451,      136,    1083,   57084
1342294819284,   363942,      136,     836,   60942
1342294819484,   363942,      136,     836,   60942
