time         ,iter.    ,bestScore,live    ,dead
1342298939256,        0,        0,       1,      -1
1342298939494,    59617,      131,    2031,    6893
1342298939694,   127265,      131,    3721,   10970
1342298939909,   182642,      131,    3661,   14290
1342298940109,   247418,      131,    4583,   16858
1342298940309,   292913,      131,    5607,   17846
1342298940510,   353049,      131,    5594,   21864
1342298940710,   399719,      131,    5769,   23841
1342298940928,   451130,      131,    6029,   27350
1342298941144,   514256,      131,    5649,   33490
1342298941345,   560401,      131,    4836,   36653
1342298941545,   619818,      131,    5170,   39487
1342298941745,   663741,      131,    5646,   43188
1342298941945,   716205,      131,    6724,   45372
1342298942145,   754479,      131,    7078,   48732
1342298942345,   803599,      131,    6806,   54871
1342298942546,   838560,      131,    6640,   58030
1342298942746,   886955,      131,    6443,   62051
1342298942946,   920300,      131,    6237,   64876
1342298943146,   971935,      131,    6554,   68391
1342298943346,  1010650,      131,    6537,   71255
1342298943546,  1059776,      131,    6511,   74827
1342298943746,  1092302,      131,    6465,   77899
1342298943956,  1142570,      131,    6307,   81699
1342298944156,  1175732,      131,    6152,   84110
1342298944356,  1199006,      131,    6316,   84843
